text,frequency,team
Virat Kohli,63,https://res.cloudinary.com/rajith/image/upload/v1618672709/RCB_pn4rqy.png
ABde,61,https://res.cloudinary.com/rajith/image/upload/v1618672709/RCB_pn4rqy.png
Shikhar,47,https://res.cloudinary.com/rajith/image/upload/v1618672710/SRH_jsavj4.png
MS Dhoni,50,https://res.cloudinary.com/rajith/image/upload/v1618672709/CSK_f1xf0j.png
Rohit,61,https://res.cloudinary.com/rajith/image/upload/v1618672709/MI_brg1g5.png
Ajinkya,28,https://res.cloudinary.com/rajith/image/upload/v1618672710/RR_banohw.png
Murali,24,https://res.cloudinary.com/rajith/image/upload/v1618672709/CSK_f1xf0j.png
Quinton,30,https://res.cloudinary.com/rajith/image/upload/v1618672709/MI_brg1g5.png
Suresh,22,https://res.cloudinary.com/rajith/image/upload/v1618672709/CSK_f1xf0j.png
KL,22,https://res.cloudinary.com/rajith/image/upload/v1618672709/PK_rj8fhd.png
Robin,21,https://res.cloudinary.com/rajith/image/upload/v1618672709/KKR_visedt.png
Shreyas,21,https://res.cloudinary.com/rajith/image/upload/v1618672710/DC_nhcfba.png
Devdutt,21,https://res.cloudinary.com/rajith/image/upload/v1618672709/RCB_pn4rqy.png
Rishabh,21,https://res.cloudinary.com/rajith/image/upload/v1618672710/DC_nhcfba.png
Sanju,20,https://res.cloudinary.com/rajith/image/upload/v1618672710/RR_banohw.png
Ambati,19,https://res.cloudinary.com/rajith/image/upload/v1618672709/CSK_f1xf0j.png
Chris,19,https://res.cloudinary.com/rajith/image/upload/v1618672709/PK_rj8fhd.png
Dinesh,17,https://res.cloudinary.com/rajith/image/upload/v1618672709/KKR_visedt.png
Ravindra,17,https://res.cloudinary.com/rajith/image/upload/v1618672709/CSK_f1xf0j.png
Hardik,35,https://res.cloudinary.com/rajith/image/upload/v1618672709/MI_brg1g5.png
